party,region,voting_system,value
Green,YT,POP,0.026000000000000002
Liberal,YT,POP,0.53700000000000003
NDP,YT,POP,0.19399999999999998
Other,YT,POP,0.0
Bloc,NT,POP,0.0
Conservative,NT,POP,0.18300000000000002
Green,NT,POP,0.027999999999999997
Liberal,NT,POP,0.48299999999999998
NDP,NT,POP,0.30499999999999999
Other,NT,POP,0.00099999999999994321
Bloc,NU,POP,0.0
Conservative,NU,POP,0.24800000000000003
Green,NU,POP,0.014999999999999999
Liberal,NU,POP,0.47100000000000003
NDP,NU,POP,0.26600000000000001
Other,NU,POP,0.0
Bloc,Canada,POP,0.047
Conservative,Canada,POP,0.31900000000000001
Green,Canada,POP,0.034000000000000002
Liberal,Canada,POP,0.39500000000000002
NDP,Canada,POP,0.19700000000000001
Other,Canada,POP,0.0079999999999999724
Bloc,BC,FPTP,0.0
Conservative,BC,FPTP,0.23809523809523808
Green,BC,FPTP,0.023809523809523808
Liberal,BC,FPTP,0.40476190476190477
NDP,BC,FPTP,0.3333333333333333
Bloc,AB,FPTP,0.0
Conservative,AB,FPTP,0.8529411764705882
Green,AB,FPTP,0.0
Liberal,AB,FPTP,0.11764705882352941
NDP,AB,FPTP,0.029411764705882353
Bloc,SK,FPTP,0.0
Conservative,SK,FPTP,0.7142857142857143
Green,SK,FPTP,0.0
Liberal,SK,FPTP,0.07142857142857142
NDP,SK,FPTP,0.21428571428571427
Bloc,MB,FPTP,0.0
Conservative,MB,FPTP,0.35714285714285715
Green,MB,FPTP,0.0
Liberal,MB,FPTP,0.5
NDP,MB,FPTP,0.14285714285714285
Bloc,ON,FPTP,0.0
Conservative,ON,FPTP,0.2727272727272727
Green,ON,FPTP,0.0
Liberal,ON,FPTP,0.6611570247933884
NDP,ON,FPTP,0.06611570247933884
Bloc,QC,FPTP,0.1282051282051282
Conservative,QC,FPTP,0.15384615384615385
Green,QC,FPTP,0.0
Liberal,QC,FPTP,0.5128205128205128
NDP,QC,FPTP,0.20512820512820512
Bloc,NB,FPTP,0.0
Conservative,NB,FPTP,0.0
Green,NB,FPTP,0.0
Liberal,NB,FPTP,1.0
NDP,NB,FPTP,0.0
Bloc,NS,FPTP,0.0
Conservative,NS,FPTP,0.0
Green,NS,FPTP,0.0
Liberal,NS,FPTP,1.0
NDP,NS,FPTP,0.0
Bloc,PE,FPTP,0.0
Conservative,PE,FPTP,0.0
Green,PE,FPTP,0.0
Liberal,PE,FPTP,1.0
NDP,PE,FPTP,0.0
Bloc,NL,FPTP,0.0
Conservative,NL,FPTP,0.0
Green,NL,FPTP,0.0
Liberal,NL,FPTP,1.0
NDP,NL,FPTP,0.0
Bloc,YT,FPTP,0.0
Conservative,YT,FPTP,0.0
Green,YT,FPTP,0.0
Liberal,YT,FPTP,1.0
NDP,YT,FPTP,0.0
Bloc,NT,FPTP,0.0
Conservative,NT,FPTP,0.0
Green,NT,FPTP,0.0
Liberal,NT,FPTP,1.0
NDP,NT,FPTP,0.0
Bloc,NU,FPTP,0.0
Conservative,NU,FPTP,0.0
Green,NU,FPTP,0.0
Liberal,NU,FPTP,1.0
NDP,NU,FPTP,0.0
Bloc,Canada,FPTP,0.029585798816568046
Conservative,Canada,FPTP,0.29289940828402367
Green,Canada,FPTP,0.0029585798816568047
Liberal,Canada,FPTP,0.5443786982248521
NDP,Canada,FPTP,0.1301775147928994
Bloc,BC,MMP,0.0
Conservative,BC,MMP,0.2619047619047619
Green,BC,MMP,0.07142857142857142
Liberal,BC,MMP,0.35714285714285715
NDP,BC,MMP,0.30952380952380953
Bloc,AB,MMP,0.0
Conservative,AB,MMP,0.6176470588235294
Green,AB,MMP,0.0
Liberal,AB,MMP,0.2647058823529412
NDP,AB,MMP,0.11764705882352941
