Bloc,Conservative,Green,Liberal,NDP,region,voting_system
0.0,29.899999999999999,8.1999999999999993,35.100000000000001,26.0,BC,POP
0.0,59.600000000000001,2.5,24.5,11.6,AB,POP
0.0,48.5,2.1000000000000001,23.899999999999999,25.100000000000001,SK,POP
0.0,37.399999999999999,3.2000000000000002,44.700000000000003,13.6,MB,POP
0.0,35.100000000000001,2.7999999999999998,44.799999999999997,16.600000000000001,ON,POP
19.399999999999999,16.699999999999999,2.2000000000000002,35.700000000000003,25.399999999999999,QC,POP
0.0,25.399999999999999,4.7000000000000002,51.600000000000001,18.399999999999999,NB,POP
0.0,17.899999999999999,3.3999999999999999,62.0,16.300000000000001,NS,POP
0.0,19.300000000000001,6.0,58.299999999999997,16.0,PE,POP
0.0,10.300000000000001,1.1000000000000001,64.5,21.100000000000001,NL,POP
0.0,24.300000000000001,2.6000000000000001,53.700000000000003,19.399999999999999,YT,POP
0.0,18.300000000000001,2.7999999999999998,48.299999999999997,30.5,NT,POP
0.0,24.800000000000001,1.5,47.100000000000001,26.600000000000001,NU,POP
4.7000000000000002,31.899999999999999,3.3999999999999999,39.5,19.699999999999999,Canada,POP
0.0,0.23809523809523808,0.023809523809523808,0.40476190476190477,0.3333333333333333,BC,FPTP
0.0,0.8529411764705882,0.0,0.11764705882352941,0.029411764705882353,AB,FPTP
0.0,0.7142857142857143,0.0,0.07142857142857142,0.21428571428571427,SK,FPTP
0.0,0.35714285714285715,0.0,0.5,0.14285714285714285,MB,FPTP
0.0,0.2727272727272727,0.0,0.6611570247933884,0.06611570247933884,ON,FPTP
0.1282051282051282,0.15384615384615385,0.0,0.5128205128205128,0.20512820512820512,QC,FPTP
0.0,0.0,0.0,1.0,0.0,NB,FPTP
0.0,0.0,0.0,1.0,0.0,NS,FPTP
0.0,0.0,0.0,1.0,0.0,PE,FPTP
0.0,0.0,0.0,1.0,0.0,NL,FPTP
0.0,0.0,0.0,1.0,0.0,YT,FPTP
0.0,0.0,0.0,1.0,0.0,NT,FPTP
0.0,0.0,0.0,1.0,0.0,NU,FPTP
0.029585798816568046,0.29289940828402367,0.0029585798816568047,0.5443786982248521,0.1301775147928994,Canada,FPTP
0.0,0.2619047619047619,0.09523809523809523,0.35714285714285715,0.2857142857142857,BC,MMP
0.0,0.5882352941176471,0.029411764705882353,0.2647058823529412,0.11764705882352941,AB,MMP
0.0,0.5,0.0,0.21428571428571427,0.2857142857142857,SK,MMP
0.0,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.14285714285714285,MB,MMP
0.0,0.33884297520661155,0.008264462809917356,0.47107438016528924,0.18181818181818182,ON,MMP
0.19230769230769232,0.16666666666666666,0.038461538461538464,0.358974358974359,0.24358974358974358,QC,MMP
0.0,0.2,0.0,0.6,0.2,NB,MMP
0.0,0.18181818181818182,0.0,0.6363636363636364,0.18181818181818182,NS,MMP
0.0,0.25,0.0,0.5,0.25,PE,MMP
0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,NL,MMP
0.0,0.0,0.0,1.0,0.0,YT,MMP
0.0,0.0,0.0,1.0,0.0,NT,MMP
0.0,0.0,0.0,1.0,0.0,NU,MMP
0.04437869822485207,0.3047337278106509,0.029585798816568046,0.4171597633136095,0.20414201183431951,Canada,MMP
0.0,0.047619047619047616,0.023809523809523808,0.6190476190476191,0.30952380952380953,BC,IRV
0.0,0.7647058823529411,0.0,0.17647058823529413,0.058823529411764705,AB,IRV
0.0,0.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,SK,IRV
0.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,MB,IRV
0.0,0.1322314049586777,0.0,0.7933884297520661,0.0743801652892562,ON,IRV
0.02564102564102564,0.0641025641025641,0.0,0.6538461538461539,0.2564102564102564,QC,IRV
0.0,0.0,0.0,1.0,0.0,NB,IRV
0.0,0.0,0.0,1.0,0.0,NS,IRV
0.0,0.0,0.0,1.0,0.0,PE,IRV
0.0,0.0,0.0,1.0,0.0,NL,IRV
0.0,0.0,0.0,1.0,0.0,NT,IRV
0.0,0.0,0.0,1.0,0.0,NU,IRV
0.0,0.0,0.0,1.0,0.0,YT,IRV
0.005917159763313609,0.1804733727810651,0.0029585798816568047,0.6627218934911243,0.14792899408284024,Canada,IRV
